ds,yhat,State
2023-12-28,742367495.3465949,Florida
2023-12-29,775212083.4826729,Florida
2023-12-30,795332867.0782278,Florida
2023-12-31,788119008.1193228,Florida
2024-01-01,790059289.1967232,Florida
2024-01-02,782815164.9378619,Florida
2024-01-03,834611353.5111419,Florida
2024-01-04,743202751.8189106,Florida
2024-01-05,772139002.2222693,Florida
2024-01-06,788509818.2060859,Florida
2024-01-07,777796849.020993,Florida
2024-01-08,776574145.3170125,Florida
2024-01-09,766578953.036992,Florida
2024-01-10,816100322.0427697,Florida
2024-01-11,722944366.8822601,Florida
2024-01-12,750697551.8981484,Florida
2024-01-13,766471141.7953788,Florida
2024-01-14,755752619.870095,Florida
2024-01-15,755106145.9391278,Florida
2024-01-16,746243778.9220442,Florida
2024-01-17,797414935.9727085,Florida
2024-01-18,706372899.2243608,Florida
2024-01-19,736639705.0108644,Florida
2024-01-20,755252509.4569381,Florida
2024-01-21,747617176.9038713,Florida
2024-01-22,750211100.5671577,Florida
2024-01-23,744656912.6286194,Florida
2024-01-24,799114484.751055,Florida
2024-01-25,711249958.0013613,Florida
2024-01-26,744503065.8699194,Florida
2024-01-27,765835775.9900438,Florida
2024-01-28,760587933.5580457,Florida
2023-12-04,378804319.6448406,Georgia
2023-12-05,372057095.4299851,Georgia
2023-12-06,407988409.71880037,Georgia
2023-12-07,362383796.054534,Georgia
2023-12-08,366813846.0745714,Georgia
2023-12-09,380770275.9830122,Georgia
2023-12-10,373529293.7343804,Georgia
2023-12-11,373935061.85337824,Georgia
2023-12-12,368618036.23302484,Georgia
2023-12-13,406136880.08058476,Georgia
2023-12-14,362231688.61546445,Georgia
2023-12-15,368424339.33654594,Georgia
2023-12-16,384155960.73144066,Georgia
2023-12-17,378651750.2531506,Georgia
2023-12-18,380705894.9327338,Georgia
2023-12-19,376901333.3464513,Georgia
2023-12-20,415753017.59649354,Georgia
2023-12-21,372962372.6735906,Georgia
2023-12-22,380018733.1517072,Georgia
2023-12-23,396337719.5715975,Georgia
2023-12-24,391126760.0488575,Georgia
2023-12-25,393170491.1103979,Georgia
2023-12-26,389050763.59392303,Georgia
2023-12-27,427289906.2021599,Georgia
2023-12-28,383604944.9993513,Georgia
2023-12-29,389508566.6463135,Georgia
2023-12-30,404446802.273355,Georgia
2023-12-31,397663658.3058806,Georgia
2024-01-01,397985454.6747676,Georgia
2024-01-02,392039627.5096971,Georgia
2024-01-03,428396684.1225557,Georgia
2024-01-04,382823046.6825985,Georgia
2024-01-05,386880612.30038995,Georgia
2024-01-06,400063046.97445506,Georgia
2024-01-07,391659079.738509,Georgia
2024-01-08,390535595.7764369,Georgia
2024-01-09,383355321.13767964,Georgia
2024-01-10,418717818.5843053,Georgia
2024-01-11,372411557.9698118,Georgia
2024-01-12,376012910.3750165,Georgia
2024-01-13,389022098.86380225,Georgia
2024-01-14,380726381.08212507,Georgia
2024-01-15,379983264.5798219,Georgia
2024-01-16,373438542.8046805,Georgia
2024-01-17,409667859.9567971,Georgia
2024-01-18,364429550.4667709,Georgia
2024-01-19,369264578.9143884,Georgia
2024-01-20,383633584.77184045,Georgia
2024-01-21,376781274.4912282,Georgia
2024-01-22,377520925.8477745,Georgia
2024-01-23,372453754.315971,Georgia
2024-01-24,410111810.4138274,Georgia
2024-01-25,366212114.58133954,Georgia
2024-01-26,372257817.4255426,Georgia
2024-01-27,387676354.0402366,Georgia
2024-01-28,381684802.5966606,Georgia
2023-12-04,319055926.3121621,Illinois
2023-12-05,312204169.636606,Illinois
2023-12-06,338833897.93359894,Illinois
2023-12-07,300976312.43389887,Illinois
2023-12-08,310135311.3197694,Illinois
2023-12-09,320163712.28586304,Illinois
2023-12-10,313830307.23533434,Illinois
2023-12-11,319302506.59149784,Illinois
2023-12-12,313548884.2944415,Illinois
2023-12-13,341284904.3011676,Illinois
2023-12-14,304504483.3314239,Illinois
2023-12-15,314674956.3478824,Illinois
2023-12-16,325614399.608974,Illinois
2023-12-17,320059730.4238543,Illinois
2023-12-18,326150310.57674855,Illinois
2023-12-19,320831336.54262525,Illinois
2023-12-20,348800272.73006344,Illinois
2023-12-21,312038961.9852225,Illinois
2023-12-22,322008964.0070321,Illinois
2023-12-23,332529065.7878971,Illinois
2023-12-24,326343377.9145614,Illinois
2023-12-25,331604743.96640486,Illinois
2023-12-26,325277751.9673142,Illinois
2023-12-27,352084615.33450866,Illinois
2023-12-28,314036573.8207733,Illinois
2023-12-29,322628385.92799914,Illinois
2023-12-30,331714881.70213467,Illinois
2023-12-31,324078017.76610273,Illinois
2024-01-01,327909192.2819986,Illinois
2024-01-02,320211140.7690027,Illinois
2024-01-03,345742712.8029861,Illinois
2024-01-04,306549212.3213223,Illinois
2024-01-05,314155903.95842075,Illinois
2024-01-06,322443683.08218455,Illinois
2024-01-07,314215377.13029015,Illinois
2024-01-08,317677457.9175086,Illinois
2024-01-09,309841503.41244215,Illinois
2024-01-10,335468721.6739052,Illinois
2024-01-11,296600227.0548406,Illinois
2024-01-12,304750672.9932237,Illinois
2024-01-13,313784235.40902585,Illinois
2024-01-14,306481405.2207178,Illinois
2024-01-15,311021355.3885667,Illinois
2024-01-16,304384201.9702917,Illinois
2024-01-17,331296448.65338963,Illinois
2024-01-18,293762278.1209432,Illinois
2024-01-19,303258265.06181794,Illinois
2024-01-20,313610473.43732226,Illinois
2024-01-21,307562364.12355244,Illinois
2024-01-22,313258245.89052624,Illinois
2024-01-23,307646557.6474862,Illinois
2024-01-24,335426241.6702905,Illinois
2024-01-25,298578844.07736355,Illinois
2024-01-26,308563893.73007137,Illinois
2024-01-27,319196502.6626546,Illinois
2024-01-28,313215599.35557693,Illinois
2023-12-04,222224799.9772506,Indiana
2023-12-05,215381471.53888637,Indiana
2023-12-06,234432058.10058704,Indiana
2023-12-07,209626526.02373493,Indiana
2023-12-08,212978078.62481332,Indiana
2023-12-09,220228999.06962916,Indiana
2023-12-10,218668542.47871903,Indiana
2023-12-11,220939489.85799494,Indiana
2023-12-12,214868577.84811687,Indiana
2023-12-13,234738282.41425732,Indiana
2023-12-14,210773742.6923302,Indiana
2023-12-15,214962698.13867524,Indiana
2023-12-16,223022065.12215212,Indiana
2023-12-17,222216556.77689916,Indiana
2023-12-18,225165938.00318268,Indiana
2023-12-19,219676109.72552878,Indiana
2023-12-20,240011482.0484467,Indiana
2023-12-21,216382405.97132698,Indiana
2023-12-22,220765522.653518,Indiana
2023-12-23,228870645.00234157,Indiana
2023-12-24,227959567.1491103,Indiana
2023-12-25,230653388.77913144,Indiana
2023-12-26,224763546.974472,Indiana
2023-12-27,244564017.25082123,Indiana
2023-12-28,220278458.92109388,Indiana
2023-12-29,223900172.50134644,Indiana
2023-12-30,231158495.65692228,Indiana
2023-12-31,229337047.62047505,Indiana
2024-01-01,231080425.64991376,Indiana
2024-01-02,224224564.51748297,Indiana
2024-01-03,243068240.25859725,Indiana
2024-01-04,217859513.49425492,Indiana
2024-01-05,220615000.2820398,Indiana
2024-01-06,227085616.7012351,Indiana
2024-01-07,224574225.71567824,Indiana
2024-01-08,225741806.86570343,Indiana
2024-01-09,218437374.64471647,Indiana
2024-01-10,236969139.11756793,Indiana
2024-01-11,211590713.53459638,Indiana
2024-01-12,214320263.18681324,Indiana
2024-01-13,220906244.67480266,Indiana
2024-01-14,218645163.70679992,Indiana
2024-01-15,220187968.1702566,Indiana
2024-01-16,213370295.27871543,Indiana
2024-01-17,232484056.2532043,Indiana
2024-01-18,207764150.46299794,Indiana
2024-01-19,211208188.08555973,Indiana
2024-01-20,218542853.36687642,Indiana
2024-01-21,217042318.1037478,Indiana
2024-01-22,219335302.7354125,Indiana
2024-01-23,213235984.19346344,Indiana
2024-01-24,233016214.5959199,Indiana
2024-01-25,208892824.17269033,Indiana
2024-01-26,212847870.32619897,Indiana
2024-01-27,220595449.62373468,Indiana
2024-01-28,219400469.3752912,Indiana
2023-12-04,115947498.39483728,Iowa
2023-12-05,113426973.97326906,Iowa
2023-12-06,122989033.2683665,Iowa
2023-12-07,108339249.85560204,Iowa
2023-12-08,112270011.02291746,Iowa
2023-12-09,116365758.65477102,Iowa
2023-12-10,113268305.85213062,Iowa
2023-12-11,115644651.93587972,Iowa
2023-12-12,113468497.610376,Iowa
2023-12-13,123388562.4404147,Iowa
2023-12-14,109098911.14885125,Iowa
2023-12-15,113380330.63902941,Iowa
2023-12-16,117805915.47438477,Iowa
2023-12-17,115006720.47223817,Iowa
2023-12-18,117639893.35307364,Iowa
2023-12-19,115670480.0824944,Iowa
2023-12-20,125739996.74431294,Iowa
2023-12-21,111536967.19956759,Iowa
2023-12-22,115838462.45314263,Iowa
2023-12-23,120215794.91332988,Iowa
2023-12-24,117300223.22015686,Iowa
2023-12-25,119751079.2455076,Iowa
2023-12-26,117537510.24592194,Iowa
2023-12-27,127306932.01157439,Iowa
2023-12-28,112755395.87494345,Iowa
2023-12-29,116668910.59994696,Iowa
2023-12-30,120628878.7794187,Iowa
2023-12-31,117277511.00622353,Iowa
2024-01-01,119285637.94359928,Iowa
2024-01-02,116634122.4714105,Iowa
2024-01-03,125981977.36306152,Iowa
2024-01-04,111036401.09635659,Iowa
2024-01-05,114593782.409945,Iowa
2024-01-06,118244842.39445338,Iowa
2024-01-07,114639785.85253352,Iowa
2024-01-08,116455889.58762707,Iowa
2024-01-09,113678736.17805691,Iowa
2024-01-10,122970203.7386466,Iowa
2024-01-11,108038427.84274319,Iowa
2024-01-12,111678788.20880361,Iowa
2024-01-13,115479089.30199775,Iowa
2024-01-14,112084805.30960931,Iowa
2024-01-15,114166814.27530177,Iowa
2024-01-16,111702825.56742455,Iowa
2024-01-17,121345605.41967319,Iowa
2024-01-18,106793209.74601199,Iowa
2024-01-19,110830268.8577671,Iowa
2024-01-20,115033484.48653315,Iowa
2024-01-21,112037200.31010586,Iowa
2024-01-22,114501461.25860876,Iowa
2024-01-23,112393756.2990247,Iowa
2024-01-24,122357540.26671939,Iowa
2024-01-25,108082735.34469996,Iowa
2024-01-26,112347249.03944181,Iowa
2024-01-27,116722662.3195589,Iowa
2024-01-28,113839943.61614223,Iowa
2023-12-04,91425473.3501755,Kansas
2023-12-05,88960912.04260944,Kansas
2023-12-06,96445409.50391337,Kansas
2023-12-07,86238231.39709313,Kansas
2023-12-08,88158645.92849192,Kansas
2023-12-09,90740172.1896158,Kansas
2023-12-10,89199599.55985025,Kansas
2023-12-11,91204168.0729482,Kansas
2023-12-12,89100990.33091971,Kansas
2023-12-13,96961246.04415609,Kansas
2023-12-14,87132376.5818873,Kansas
2023-12-15,89421687.35810603,Kansas
2023-12-16,92350945.92933334,Kansas
2023-12-17,91125744.63897048,Kansas
2023-12-18,93403007.86534221,Kansas
2023-12-19,91520715.10053304,Kansas
2023-12-20,99542362.33647658,Kansas
2023-12-21,89809381.53929651,Kansas
2023-12-22,92124919.65093224,Kansas
2023-12-23,95008560.00352345,Kansas
2023-12-24,93665751.52887104,Kansas
2023-12-25,95755323.99907154,Kansas
2023-12-26,93619160.38890985,Kansas
2023-12-27,101326550.38105762,Kansas
2023-12-28,91226447.97709033,Kansas
2023-12-29,93131039.37521113,Kansas
2023-12-30,95570210.12701574,Kansas
2023-12-31,93760684.30432849,Kansas
2024-01-01,95373222.27624243,Kansas
2024-01-02,92761957.3163935,Kansas
2024-01-03,100008404.70059143,Kansas
2024-01-04,89473376.1233652,Kansas
2024-01-05,90980215.40636943,Kansas
2024-01-06,93068953.98572013,Kansas
2024-01-07,90965167.77681683,Kansas
2024-01-08,92346930.02439909,Kansas
2024-01-09,89573947.27547655,Kansas
2024-01-10,96731417.7689869,Kansas
2024-01-11,86181849.26019672,Kansas
2024-01-12,87748254.88141169,Kansas
2024-01-13,89968326.52161564,Kansas
2024-01-14,88063366.66206814,Kansas
2024-01-15,89705370.97720811,Kansas
2024-01-16,87246344.9771508,Kansas
2024-01-17,94762388.67109598,Kansas
2024-01-18,84605779.66182795,Kansas
2024-01-19,86588465.56219704,Kansas
2024-01-20,89236556.62757546,Kansas
2024-01-21,87759590.3238651,Kansas
2024-01-22,89817950.55933288,Kansas
2024-01-23,87752515.18857078,Kansas
2024-01-24,95629056.29192458,Kansas
2024-01-25,85790614.62535805,Kansas
2024-01-26,88041250.83846891,Kansas
